expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
treuv,strong,epistemic,1,positive,no,treuh.tai/treuh.baa,"consultant noted that the difference between tai and baa is tense, tai indicates near future but baa indicates distant future"
treuv,weak necessity,epistemic,?,positive,no,treuh.tai/treuh.baa,
treuv,weak,epistemic,?,positive,no,treuh.tai/treuh.baa,
treuv,strong,deontic,1,positive,no,treuh.tai/treuh.baa,
treuv,weak necessity,deontic,?,positive,no,treuh.tai/treuh.baa,
treuv,weak,deontic,?,positive,no,treuh.tai/treuh.baa,
treuv,strong,teleological,1,positive,no,treuh.tai/treuh.baa,
treuv,weak necessity,teleological,?,positive,no,treuh.tai/treuh.baa,
treuv,weak,teleological,?,positive,no,treuh.tai/treuh.baa,
treuv,strong,circumstantial,1,positive,no,treuh.tai/treuh.baa,
treuv,weak,circumstantial,?,positive,no,treuh.tai/treuh.baa,
treuv,strong,bouletic,1,positive,no,treuh.tai/treuh.baa,
treuv,strong,epistemic,?,negative,,,
treuv,weak necessity,epistemic,?,negative,,,
treuv,weak,epistemic,?,negative,,,
treuv,strong,deontic,?,negative,,,
treuv,weak necessity,deontic,?,negative,,,
treuv,weak,deontic,1,negative,high,mən treuh,
treuv,strong,teleological,?,negative,,,
treuv,weak necessity,teleological,?,negative,,,
treuv,weak,teleological,?,negative,,,
treuv,strong,circumstantial,?,negative,,,
treuv,weak,circumstantial,?,negative,,,
treuv,strong,bouletic,?,negative,,,
chambac,strong,epistemic,?,positive,no,chambac,
chambac,weak necessity,epistemic,?,positive,no,chambac,
chambac,weak,epistemic,?,positive,no,chambac,
chambac,strong,deontic,1,positive,no,chambac,
chambac,weak necessity,deontic,?,positive,no,chambac,
chambac,weak,deontic,?,positive,no,chambac,
chambac,strong,teleological,1,positive,no,chambac,
chambac,weak necessity,teleological,?,positive,no,chambac,
chambac,weak,teleological,?,positive,no,chambac,
chambac,strong,circumstantial,?,positive,no,chambac,
chambac,weak,circumstantial,?,positive,no,chambac,
chambac,strong,bouletic,?,positive,no,chambac,
chambac,strong,epistemic,?,negative,,,
chambac,weak necessity,epistemic,?,negative,,,
chambac,weak,epistemic,?,negative,,,
chambac,strong,deontic,1,negative,high,mən chambac,
chambac,weak necessity,deontic,?,negative,,,
chambac,weak,deontic,?,negative,,,
chambac,strong,teleological,1,negative,high,mən chambac,
chambac,weak necessity,teleological,?,negative,,,
chambac,weak,teleological,?,negative,,,
chambac,strong,circumstantial,?,negative,,,
chambac,weak,circumstantial,?,negative,,,
chambac,strong,bouletic,?,negative,,,
kuətai,strong,epistemic,?,positive,no,kuətai,
kuətai,weak necessity,epistemic,1,positive,no,kuətai,
kuətai,weak,epistemic,?,positive,no,kuətai,
kuətai,strong,deontic,?,positive,no,kuətai,
kuətai,weak necessity,deontic,1,positive,no,kuətai,
kuətai,weak,deontic,?,positive,no,kuətai,
kuətai,strong,teleological,?,positive,no,kuətai,
kuətai,weak necessity,teleological,1,positive,no,kuətai,
kuətai,weak,teleological,?,positive,no,kuətai,
kuətai,strong,circumstantial,?,positive,no,kuətai,
kuətai,weak,circumstantial,?,positive,no,kuətai,
kuətai,strong,bouletic,?,positive,no,kuətai,
prohai,strong,epistemic,?,positive,no,prohai,
prohai,weak necessity,epistemic,?,positive,no,prohai,
prohai,weak,epistemic,1,positive,no,prohai,
prohai,strong,deontic,?,positive,no,prohai,
prohai,weak necessity,deontic,?,positive,no,prohai,
prohai,weak,deontic,?,positive,no,prohai,
prohai,strong,teleological,?,positive,no,prohai,
prohai,weak necessity,teleological,?,positive,no,prohai,
prohai,weak,teleological,?,positive,no,prohai,
prohai,strong,circumstantial,?,positive,no,prohai,
prohai,weak,circumstantial,?,positive,no,prohai,
prohai,strong,bouletic,?,positive,no,prohai,
prohai,strong,epistemic,1,negative,low,prohai + ciəa(COMP)+ mən(NEG),
prohai,weak necessity,epistemic,?,negative,,,
prohai,weak,epistemic,?,negative,,,
prohai,strong,deontic,?,negative,,,
prohai,weak necessity,deontic,?,negative,,,
prohai,weak,deontic,?,negative,,,
prohai,strong,teleological,?,negative,,,
prohai,weak necessity,teleological,?,negative,,,
prohai,weak,teleological,?,negative,,,
prohai,strong,circumstantial,?,negative,,,
prohai,weak,circumstantial,?,negative,,,
prohai,strong,bouletic,?,negative,,,
ac,strong,epistemic,?,positive,no,ac,
ac,weak necessity,epistemic,?,positive,no,ac,
ac,weak,epistemic,?,positive,no,ac,
ac,strong,deontic,?,positive,no,ac,
ac,weak necessity,deontic,?,positive,no,ac,
ac,weak,deontic,1,positive,no,ac,
ac,strong,teleological,?,positive,no,ac,
ac,weak necessity,teleological,?,positive,no,ac,
ac,weak,teleological,1,positive,no,ac,
ac,strong,circumstantial,?,positive,no,ac,
ac,weak,circumstantial,1,positive,no,ac,
ac,strong,bouletic,?,positive,,,
ac,strong,epistemic,?,positive,,,
ac,weak necessity,epistemic,?,positive,,,
ac,weak,epistemic,1,positive,high,mən ac,
ac,strong,deontic,?,positive,,,
ac,weak necessity,deontic,?,positive,,,
ac,weak,deontic,1,positive,high,mən ac,
ac,strong,teleological,?,positive,,,
ac,weak necessity,teleological,?,positive,,,
ac,weak,teleological,1,positive,high,mən ac,
ac,strong,circumstantial,?,positive,,,
ac,weak,circumstantial,1,positive,high,mən ac,
ac,strong,bouletic,?,positive,,,
