expression,force,flavor,can_express,lexical,polarity,syntactically_negated,full_form,notes
yiding,strong,epistemic,1,,positive,no,yiding,chinese character: 一定
yiding,strong,deontic,?,,positive,no,yiding,
yiding,strong,teleological,?,,positive,no,yiding,
yiding,strong,circumstantial,?,,positive,no,yiding,
yiding,strong,bouletic,?,,positive,no,yiding,
yiding,weak necessity,epistemic,?,,positive,no,yiding,
yiding,weak necessity,deontic,?,,positive,no,yiding,
yiding,weak necessity,teleological,?,,positive,no,yiding,
yiding,weak,epistemic,?,,positive,no,yiding,
yiding,weak,deontic,?,,positive,no,yiding,
yiding,weak,teleological,?,,positive,no,yiding,
yiding,weak,circumstantial,?,,positive,no,yiding,
biran,strong,epistemic,1,,positive,no,biran,"chinese character: 必然, modal adverb"
biran,strong,deontic,?,,positive,no,biran,
biran,strong,teleological,?,,positive,no,biran,
biran,strong,circumstantial,?,,positive,no,biran,
biran,strong,bouletic,?,,positive,no,biran,
biran,weak necessity,epistemic,?,,positive,no,biran,
biran,weak necessity,deontic,?,,positive,no,biran,
biran,weak necessity,teleological,?,,positive,no,biran,
biran,weak,epistemic,?,,positive,no,biran,
biran,weak,deontic,?,,positive,no,biran,
biran,weak,teleological,?,,positive,no,biran,
biran,weak,circumstantial,?,,positive,no,biran,
juedui,strong,epistemic,1,,positive,no,juedui,"chinese character: 绝对, adverb, not necessarily modal origin"
juedui,strong,deontic,?,,positive,no,juedui,
juedui,strong,teleological,?,,positive,no,juedui,
juedui,strong,circumstantial,?,,positive,no,juedui,
juedui,strong,bouletic,?,,positive,no,juedui,
juedui,weak necessity,epistemic,?,,positive,no,juedui,
juedui,weak necessity,deontic,?,,positive,no,juedui,
juedui,weak necessity,teleological,?,,positive,no,juedui,
juedui,weak,epistemic,?,,positive,no,juedui,
juedui,weak,deontic,?,,positive,no,juedui,
juedui,weak,teleological,?,,positive,no,juedui,
juedui,weak,circumstantial,?,,positive,no,juedui,
bixu,strong,epistemic,?,,positive,no,bixu,chinese character: 必须
bixu,strong,deontic,1,,positive,no,bixu,
bixu,strong,teleological,1,,positive,no,bixu,
bixu,strong,circumstantial,1,,positive,no,bixu,
bixu,strong,bouletic,1,,positive,no,bixu,
bixu,weak necessity,epistemic,?,,positive,no,bixu,
bixu,weak necessity,deontic,?,,positive,no,bixu,
bixu,weak necessity,teleological,?,,positive,no,bixu,
bixu,weak,epistemic,?,,positive,no,bixu,
bixu,weak,deontic,?,,positive,no,bixu,
bixu,weak,teleological,?,,positive,no,bixu,
bixu,weak,circumstantial,?,,positive,no,bixu,
yao,strong,epistemic,?,,positive,no,yao,chinese character: 要
yao,strong,deontic,1,,positive,no,yao,
yao,strong,teleological,1,,positive,no,yao,
yao,strong,circumstantial,1,,positive,no,yao,
yao,strong,bouletic,1,,positive,no,yao,
yao,weak necessity,epistemic,?,,positive,no,yao,
yao,weak necessity,deontic,1,,positive,no,yao,
yao,weak necessity,teleological,1,,positive,no,yao,
yao,weak,epistemic,?,,positive,no,yao,
yao,weak,deontic,?,,positive,no,yao,
yao,weak,teleological,?,,positive,no,yao,
yao,weak,circumstantial,?,,positive,no,yao,
dei,strong,epistemic,?,,positive,no,dei,"chinese character: 得, colloquial, perhaps dialectal more prevalent in Northern China"
dei,strong,deontic,1,,positive,no,dei,
dei,strong,teleological,1,,positive,no,dei,
dei,strong,circumstantial,1,,positive,no,dei,
dei,strong,bouletic,1,,positive,no,dei,
dei,weak necessity,epistemic,?,,positive,no,dei,
dei,weak necessity,deontic,1,,positive,no,dei,
dei,weak necessity,teleological,1,,positive,no,dei,
dei,weak,epistemic,?,,positive,no,dei,
dei,weak,deontic,?,,positive,no,dei,
dei,weak,teleological,?,,positive,no,dei,
dei,weak,circumstantial,?,,positive,no,dei,
yiding yao,strong,epistemic,?,FALSE,positive,no,yiding yao,chinese character: 一定要
yiding yao,strong,deontic,?,FALSE,positive,no,yiding yao,
yiding yao,strong,teleological,?,FALSE,positive,no,yiding yao,
yiding yao,strong,circumstantial,?,FALSE,positive,no,yiding yao,
yiding yao,strong,bouletic,1,FALSE,positive,no,yiding yao,
yiding yao,weak necessity,epistemic,?,FALSE,positive,no,yiding yao,
yiding yao,weak necessity,deontic,?,FALSE,positive,no,yiding yao,
yiding yao,weak necessity,teleological,?,FALSE,positive,no,yiding yao,
yiding yao,weak,epistemic,?,FALSE,positive,no,yiding yao,
yiding yao,weak,deontic,?,FALSE,positive,no,yiding yao,
yiding yao,weak,teleological,?,FALSE,positive,no,yiding yao,
yiding yao,weak,circumstantial,?,FALSE,positive,no,yiding yao,
yiding dei,strong,epistemic,?,FALSE,positive,no,yiding dei,chinese character: 一定得
yiding dei,strong,deontic,?,FALSE,positive,no,yiding dei,
yiding dei,strong,teleological,?,FALSE,positive,no,yiding dei,
yiding dei,strong,circumstantial,?,FALSE,positive,no,yiding dei,
yiding dei,strong,bouletic,1,FALSE,positive,no,yiding dei,
yiding dei,weak necessity,epistemic,?,FALSE,positive,no,yiding dei,
yiding dei,weak necessity,deontic,?,FALSE,positive,no,yiding dei,
yiding dei,weak necessity,teleological,?,FALSE,positive,no,yiding dei,
yiding dei,weak,epistemic,?,FALSE,positive,no,yiding dei,
yiding dei,weak,deontic,?,FALSE,positive,no,yiding dei,
yiding dei,weak,teleological,?,FALSE,positive,no,yiding dei,
yiding dei,weak,circumstantial,?,FALSE,positive,no,yiding dei,
yinggai,strong,epistemic,?,,positive,no,yinggai,chinese character: 应该
yinggai,strong,deontic,?,,positive,no,yinggai,
yinggai,strong,teleological,?,,positive,no,yinggai,
yinggai,strong,circumstantial,?,,positive,no,yinggai,
yinggai,strong,bouletic,?,,positive,no,yinggai,
yinggai,weak necessity,epistemic,1,,positive,no,yinggai,
yinggai,weak necessity,deontic,1,,positive,no,yinggai,
yinggai,weak necessity,teleological,1,,positive,no,yinggai,
yinggai,weak,epistemic,?,,positive,no,yinggai,
yinggai,weak,deontic,?,,positive,no,yinggai,
yinggai,weak,teleological,?,,positive,no,yinggai,
yinggai,weak,circumstantial,?,,positive,no,yinggai,
dagai,strong,epistemic,?,,positive,no,dagai,"chinese character: 大概, lit. Big likelihood, likely/probable"
dagai,strong,deontic,?,,positive,no,dagai,
dagai,strong,teleological,?,,positive,no,dagai,
dagai,strong,circumstantial,?,,positive,no,dagai,
dagai,strong,bouletic,?,,positive,no,dagai,
dagai,weak necessity,epistemic,1,,positive,no,dagai,
dagai,weak necessity,deontic,?,,positive,no,dagai,
dagai,weak necessity,teleological,?,,positive,no,dagai,
dagai,weak,epistemic,?,,positive,no,dagai,
dagai,weak,deontic,?,,positive,no,dagai,
dagai,weak,teleological,?,,positive,no,dagai,
dagai,weak,circumstantial,?,,positive,no,dagai,
keneng,strong,epistemic,?,,positive,no,keneng,chinese character: 可能
keneng,strong,deontic,?,,positive,no,keneng,
keneng,strong,teleological,?,,positive,no,keneng,
keneng,strong,circumstantial,?,,positive,no,keneng,
keneng,strong,bouletic,?,,positive,no,keneng,
keneng,weak necessity,epistemic,?,,positive,no,keneng,
keneng,weak necessity,deontic,?,,positive,no,keneng,
keneng,weak necessity,teleological,?,,positive,no,keneng,
keneng,weak,epistemic,1,,positive,no,keneng,
keneng,weak,deontic,?,,positive,no,keneng,
keneng,weak,teleological,?,,positive,no,keneng,
keneng,weak,circumstantial,?,,positive,no,keneng,
keyi,strong,epistemic,?,,positive,no,keyi,chinese character: 可以
keyi,strong,deontic,?,,positive,no,keyi,
keyi,strong,teleological,?,,positive,no,keyi,
keyi,strong,circumstantial,?,,positive,no,keyi,
keyi,strong,bouletic,?,,positive,no,keyi,
keyi,weak necessity,epistemic,?,,positive,no,keyi,
keyi,weak necessity,deontic,?,,positive,no,keyi,
keyi,weak necessity,teleological,?,,positive,no,keyi,
keyi,weak,epistemic,?,,positive,no,keyi,
keyi,weak,deontic,1,,positive,no,keyi,
keyi,weak,teleological,1,,positive,no,keyi,
keyi,weak,circumstantial,1,,positive,no,keyi,
yexu,strong,epistemic,?,,positive,no,yexu,"chinese character: 也许, adverb"
yexu,strong,deontic,?,,positive,no,yexu,
yexu,strong,teleological,?,,positive,no,yexu,
yexu,strong,circumstantial,?,,positive,no,yexu,
yexu,strong,bouletic,?,,positive,no,yexu,
yexu,weak necessity,epistemic,?,,positive,no,yexu,
yexu,weak necessity,deontic,?,,positive,no,yexu,
