,expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
0,-ma-,strong,epistemic,1,positive,no,V-ma-...,Frequently ol-ma-... (be-MOD-...)
1,-ma-,weak necessity,epistemic,1,positive,no,V-ma-...,
2,-ma-,weak,epistemic,?,positive,no,V-ma-...,
3,-ma-,strong,deontic,?,positive,no,V-ma-...,
4,-ma-,weak necessity,deontic,?,positive,no,V-ma-...,
5,-ma-,weak,deontic,?,positive,no,V-ma-...,
6,-ma-,strong,teleological,?,positive,no,V-ma-...,
7,-ma-,weak necessity,teleological,1,positive,no,V-ma-...,
8,-ma-,weak,teleological,?,positive,no,V-ma-...,
9,-ma-,strong,circumstantial,?,positive,no,V-ma-...,
10,-ma-,weak,circumstantial,?,positive,no,V-ma-...,
11,-ma-,strong,bouletic,1,positive,no,V-ma-...,
12,gerek,strong,epistemic,0,positive,no,gerek,
13,gerek,weak necessity,epistemic,?,positive,no,gerek,
14,gerek,weak,epistemic,?,positive,no,gerek,
15,gerek,strong,deontic,1,positive,no,gerek,
16,gerek,weak necessity,deontic,?,positive,no,gerek,
17,gerek,weak,deontic,?,positive,no,gerek,
18,gerek,strong,teleological,1,positive,no,gerek,
19,gerek,weak necessity,teleological,?,positive,no,gerek,
20,gerek,weak,teleological,?,positive,no,gerek,
21,gerek,strong,circumstantial,1,positive,no,gerek,
22,gerek,weak,circumstantial,?,positive,no,gerek,
23,gerek,strong,bouletic,1,positive,no,gerek,
24,şart,strong,epistemic,1,positive,no,şart,
25,şart,weak necessity,epistemic,?,positive,no,şart,
26,şart,weak,epistemic,?,positive,no,şart,
27,şart,strong,deontic,?,positive,no,şart,
28,şart,weak necessity,deontic,?,positive,no,şart,
29,şart,weak,deontic,?,positive,no,şart,
30,şart,strong,teleological,?,positive,no,şart,
31,şart,weak necessity,teleological,?,positive,no,şart,
32,şart,weak,teleological,?,positive,no,şart,
33,şart,strong,circumstantial,?,positive,no,şart,
34,şart,weak,circumstantial,?,positive,no,şart,
35,şart,strong,bouletic,?,positive,no,şart,
36,-dır,strong,epistemic,1,positive,no,-dır,Adjectival suffix
37,-dır,weak necessity,epistemic,1,positive,no,-dır,
38,-dır,weak,epistemic,?,positive,no,-dır,
39,-dır,strong,deontic,?,positive,no,-dır,
40,-dır,weak necessity,deontic,?,positive,no,-dır,
41,-dır,weak,deontic,?,positive,no,-dır,
42,-dır,strong,teleological,?,positive,no,-dır,
43,-dır,weak necessity,teleological,?,positive,no,-dır,
44,-dır,weak,teleological,?,positive,no,-dır,
45,-dır,strong,circumstantial,?,positive,no,-dır,
46,-dır,weak,circumstantial,?,positive,no,-dır,
47,-dır,strong,bouletic,?,positive,no,-dır,
48,lazım,strong,epistemic,0,positive,no,lazım,
49,lazım,weak necessity,epistemic,?,positive,no,lazım,
50,lazım,weak,epistemic,?,positive,no,lazım,
51,lazım,strong,deontic,1,positive,no,lazım,
52,lazım,weak necessity,deontic,?,positive,no,lazım,
53,lazım,weak,deontic,?,positive,no,lazım,
54,lazım,strong,teleological,1,positive,no,lazım,
55,lazım,weak necessity,teleological,1,positive,no,lazım,"hedged with bence (""I think"")"
56,lazım,weak,teleological,?,positive,no,lazım,
57,lazım,strong,circumstantial,1,positive,no,lazım,
58,lazım,weak,circumstantial,?,positive,no,lazım,
59,lazım,strong,bouletic,1,positive,no,lazım,
60,iyi olabilir,strong,epistemic,?,positive,no,V + iyi olabilir,"""would be good if"" paraphrase"
61,iyi olabilir,weak necessity,epistemic,?,positive,no,V + iyi olabilir,
62,iyi olabilir,weak,epistemic,?,positive,no,V + iyi olabilir,
63,iyi olabilir,strong,deontic,?,positive,no,V + iyi olabilir,
64,iyi olabilir,weak necessity,deontic,1,positive,no,V + iyi olabilir,
65,iyi olabilir,weak,deontic,?,positive,no,V + iyi olabilir,
66,iyi olabilir,strong,teleological,?,positive,no,V + iyi olabilir,
67,iyi olabilir,weak necessity,teleological,?,positive,no,V + iyi olabilir,
68,iyi olabilir,weak,teleological,?,positive,no,V + iyi olabilir,
69,iyi olabilir,strong,circumstantial,?,positive,no,V + iyi olabilir,
70,iyi olabilir,weak,circumstantial,?,positive,no,V + iyi olabilir,
71,iyi olabilir,strong,bouletic,?,positive,no,V + iyi olabilir,
72,-abil // -ebil,strong,epistemic,?,positive,no,V-_bil,"_ is either a or e, determined by vowel harmony"
73,-abil // -ebil,weak necessity,epistemic,?,positive,no,V-_bil,
74,-abil // -ebil,weak,epistemic,1,positive,no,V-_bil,
75,-abil // -ebil,strong,deontic,?,positive,no,V-_bil,
76,-abil // -ebil,weak necessity,deontic,?,positive,no,V-_bil,
77,-abil // -ebil,weak,deontic,1,positive,no,V-_bil,
78,-abil // -ebil,strong,teleological,?,positive,no,V-_bil,
79,-abil // -ebil,weak necessity,teleological,?,positive,no,V-_bil,
80,-abil // -ebil,weak,teleological,1,positive,no,V-_bil,
81,-abil // -ebil,strong,circumstantial,?,positive,no,V-_bil,
82,-abil // -ebil,strong,circumstantial,1,negative,no,V-_bil,
83,-abil // -ebil,weak,circumstantial,1,positive,no,V-_bil,
84,-abil // -ebil,strong,bouletic,?,positive,no,V-_bil,
85,mümkün,strong,epistemic,?,positive,no,clause + mümkün,paraphrase
86,mümkün,weak necessity,epistemic,?,positive,no,clause + mümkün,
87,mümkün,weak,epistemic,1,positive,no,clause + mümkün,
88,mümkün,strong,deontic,?,positive,no,clause + mümkün,
89,mümkün,weak necessity,deontic,?,positive,no,clause + mümkün,
90,mümkün,weak,deontic,?,positive,no,clause + mümkün,
91,mümkün,strong,teleological,?,positive,no,clause + mümkün,
92,mümkün,weak necessity,teleological,?,positive,no,clause + mümkün,
93,mümkün,weak,teleological,?,positive,no,clause + mümkün,
94,mümkün,strong,circumstantial,?,positive,no,clause + mümkün,
95,mümkün,strong,circumstantial,1,negative,no,clause + mümkün,
96,mümkün,weak,circumstantial,?,positive,no,clause + mümkün,
97,mümkün,strong,bouletic,?,positive,no,clause + mümkün,
98,şart,strong,epistemic,1,negative,low,şart değil,
99,şart,weak necessity,epistemic,?,negative,low,şart değil,
100,şart,weak,epistemic,?,negative,low,şart değil,
101,şart,strong,deontic,?,negative,low,şart değil,
102,şart,weak necessity,deontic,?,negative,low,şart değil,
103,şart,weak,deontic,?,negative,low,şart değil,
104,şart,strong,teleological,?,negative,low,şart değil,
105,şart,weak necessity,teleological,?,negative,low,şart değil,
106,şart,weak,teleological,?,negative,low,şart değil,
107,şart,strong,circumstantial,?,negative,low,şart değil,
108,şart,weak,circumstantial,?,negative,low,şart değil,
109,şart,strong,bouletic,?,negative,low,şart değil,
110,lazım,strong,epistemic,1,negative,low,clause + lazım değil,sentence-final periphrastic
111,lazım,weak necessity,epistemic,?,negative,low,clause + lazım değil,
112,lazım,weak,epistemic,?,negative,low,clause + lazım değil,
113,lazım,strong,deontic,1,negative,low,clause + lazım değil,
114,lazım,weak necessity,deontic,?,negative,low,clause + lazım değil,
115,lazım,weak,deontic,?,negative,low,clause + lazım değil,
116,lazım,strong,teleological,?,negative,low,clause + lazım değil,
117,lazım,weak necessity,teleological,?,negative,low,clause + lazım değil,
118,lazım,weak,teleological,?,negative,low,clause + lazım değil,
119,lazım,strong,circumstantial,?,negative,low,clause + lazım değil,
120,lazım,weak,circumstantial,?,negative,low,clause + lazım değil,
121,lazım,strong,bouletic,?,negative,low,clause + lazım değil,
122,gerek,strong,epistemic,1,negative,low,clause + gerek değil,sentence-final periphrastic
123,gerek,weak necessity,epistemic,?,negative,low,gerek + NEG,
124,gerek,weak,epistemic,?,negative,low,gerek + NEG,
125,gerek,strong,deontic,1,negative,high,[CLAUSE] gerek yok,yok is negative existential rather than negator. Sometimes interchangeable with var. 
126,gerek,weak necessity,deontic,?,negative,low,gerek + NEG,
127,gerek,weak,deontic,?,negative,low,gerek + NEG,
128,gerek,strong,teleological,1,negative,high,[CLAUSE] gerek yok,
129,gerek,weak necessity,teleological,?,negative,low,gerek + NEG,
130,gerek,weak,teleological,?,negative,low,gerek + NEG,
131,gerek,strong,circumstantial,?,negative,low,gerek + NEG,
132,gerek,weak,circumstantial,?,negative,low,gerek + NEG,
133,gerek,strong,bouletic,?,negative,low,gerek + NEG,
134,-abil // -ebil,strong,epistemic,?,negative,low,-ama-(z) ,negative aorist of [-abil/-ebil]
135,-abil // -ebil,weak necessity,epistemic,?,negative,low,-ama-(z) ,
136,-abil // -ebil,weak,epistemic,1,negative,low,-ama-(z) ,
137,-abil // -ebil,strong,deontic,?,negative,low,-ama-(z) ,
138,-abil // -ebil,weak necessity,deontic,?,negative,low,-ama-(z) ,
139,-abil // -ebil,weak,deontic,1,negative,low,-ama-(z) ,
140,-abil // -ebil,strong,teleological,?,negative,low,-ama-(z) ,
141,-abil // -ebil,weak necessity,teleological,?,negative,low,-ama-(z) ,
142,-abil // -ebil,weak,teleological,1,negative,low,-ama-(z) ,
143,-abil // -ebil,strong,circumstantial,?,negative,low,-ama-(z) ,
144,-abil // -ebil,weak,circumstantial,1,negative,low,-ama-(z) ,
145,-abil // -ebil,strong,bouletic,?,negative,low,-ama-(z) ,
146,-abil // -ebil,strong,epistemic,?,negative,low,clause + mümkün değil,paraphrase
147,mümkün,weak necessity,epistemic,?,negative,low,clause + mümkün değil,
148,mümkün,weak,epistemic,?,negative,low,clause + mümkün değil,
149,mümkün,strong,deontic,?,negative,low,clause + mümkün değil,
150,mümkün,weak necessity,deontic,?,negative,low,clause + mümkün değil,
151,mümkün,weak,deontic,?,negative,low,clause + mümkün değil,
152,mümkün,strong,teleological,?,negative,low,clause + mümkün değil,
153,mümkün,weak necessity,teleological,?,negative,low,clause + mümkün değil,
154,mümkün,weak,teleological,?,negative,low,clause + mümkün değil,
155,mümkün,strong,circumstantial,?,negative,low,clause + mümkün değil,
156,mümkün,weak,circumstantial,1,negative,low,clause + mümkün değil,
157,mümkün,strong,bouletic,?,negative,low,clause + mümkün değil,
