expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
ɛsɛsɛ,strong,epistemic,1,positive,no,ɛsɛsɛ,
ɛsɛsɛ,weak necessity,epistemic,1,positive,no,ɛsɛsɛ,
ɛsɛsɛ,weak,epistemic,?,positive,no,ɛsɛsɛ,
ɛsɛsɛ,strong,deontic,1,positive,no,ɛsɛsɛ,
ɛsɛsɛ,weak necessity,deontic,1,positive,no,ɛsɛsɛ,
ɛsɛsɛ,weak,deontic,?,positive,no,ɛsɛsɛ,
ɛsɛsɛ,strong,teleological,?,positive,no,ɛsɛsɛ,this is marginally acceptable according to consultant
ɛsɛsɛ,weak necessity,teleological,?,positive,no,ɛsɛsɛ,
ɛsɛsɛ,weak,teleological,?,positive,no,ɛsɛsɛ,
ɛsɛsɛ,strong,circumstantial,1,positive,no,ɛsɛsɛ,ɛwɔsɛ is preferred but ɛsɛsɛ is accpetable as well
ɛsɛsɛ,weak,circumstantial,?,positive,no,ɛsɛsɛ,
ɛsɛsɛ,strong,bouletic,1,positive,no,ɛsɛsɛ,
ɛsɛsɛ,strong,epistemic,1,negative,low,ɛnsɛsɛ,n is negation
ɛsɛsɛ,weak necessity,epistemic,?,negative,,,
ɛsɛsɛ,weak,epistemic,?,negative,,,
ɛsɛsɛ,strong,deontic,1,negative,low,ɛnsɛsɛ,"it is hard to tell from note the scope of negation, but from the semantics of words it seems like the negation scopes lower"
ɛsɛsɛ,weak necessity,deontic,?,negative,,,
ɛsɛsɛ,weak,deontic,?,negative,,,
ɛsɛsɛ,strong,teleological,1,negative,low,ɛnsɛsɛ,"it is hard to tell from note the scope of negation, but from the semantics of words it seems like the negation scopes lower"
ɛsɛsɛ,weak necessity,teleological,?,negative,,,
ɛsɛsɛ,weak,teleological,?,negative,,,
ɛsɛsɛ,strong,circumstantial,?,negative,,,
ɛsɛsɛ,weak,circumstantial,?,negative,,,
ɛsɛsɛ,strong,bouletic,?,negative,,,
a-gye-sɛ,strong,epistemic,1,positive,no,a-gye-sɛ,it is not clear that the expression is only limited to strong epistemic
a-gye-sɛ,weak necessity,epistemic,?,positive,no,a-gye-sɛ,
a-gye-sɛ,weak,epistemic,?,positive,no,a-gye-sɛ,
a-gye-sɛ,strong,deontic,0,positive,no,a-gye-sɛ,
a-gye-sɛ,weak necessity,deontic,?,positive,no,a-gye-sɛ,
a-gye-sɛ,weak,deontic,?,positive,no,a-gye-sɛ,
a-gye-sɛ,strong,teleological,?,positive,no,a-gye-sɛ,
a-gye-sɛ,weak necessity,teleological,?,positive,no,a-gye-sɛ,
